Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source,EID
"Ali E.S., Abd-Elazim S.M.","BFOA based design of PID controller for two area Load Frequency Control with nonlinearities",2013,"International Journal of Electrical Power and Energy Systems",70,10.1016/j.ijepes.2013.02.030,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876138806&doi=10.1016%2fj.ijepes.2013.02.030&partnerID=40&md5=443523c26568507e856d04122d897d56","This paper presents an application of the novel artificial intelligent search technique to find the parameters optimization of nonlinear Load Frequency Controller (LFC) considering Proportional Integral Derivative controller (PID) for a power system. A two area non reheat thermal system is considered to be equipped with PID controller. Bacterial Foraging Optimization Algorithm (BFOA) is employed to search for optimal controller parameters to minimize the time domain objective function. The performance of the proposed technique has been evaluated with the performance of the conventional Ziegler Nichols (ZN) and Genetic Algorithm (GA) in order to demonstrate the superior efficiency of the proposed BFOA in tuning PID controller. By comparison with the conventional technique and GA, the effectiveness of the proposed BFOA is validated over different operating conditions, and system parameters variations. © 2013 Elsevier Ltd. All rights reserved.","Bacteria Foraging; Genetic Algorithm; Load Frequency Control; Nonlinearities","Bacteria foraging; Bacterial Foraging Optimization Algorithm (BFOA); Conventional techniques; Different operating conditions; Load-frequency control; Parameters optimization; Proportional integral derivative controllers; System parameters variations; Artificial intelligence; Control nonlinearities; Electric control equipment; Electric frequency control; Genetic algorithms; Optimization; Press load control; Electric load management",Article,Scopus,2-s2.0-84876138806
"Fernández A., López V., Galar M., Del Jesus M.J., Herrera F.","Analysing the classification of imbalanced data-sets with multiple classes: Binarization techniques and ad-hoc approaches",2013,"Knowledge-Based Systems",70,10.1016/j.knosys.2013.01.018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874667219&doi=10.1016%2fj.knosys.2013.01.018&partnerID=40&md5=2c9178602a811139839b1a2c61b01b7b","The imbalanced class problem is related to the real-world application of classification in engineering. It is characterised by a very different distribution of examples among the classes. The condition of multiple imbalanced classes is more restrictive when the aim of the final system is to obtain the most accurate precision for each of the concepts of the problem. The goal of this work is to provide a thorough experimental analysis that will allow us to determine the behaviour of the different approaches proposed in the specialised literature. First, we will make use of binarization schemes, i.e., one versus one and one versus all, in order to apply the standard approaches to solving binary class imbalanced problems. Second, we will apply several ad hoc procedures which have been designed for the scenario of imbalanced data-sets with multiple classes. This experimental study will include several well-known algorithms from the literature such as decision trees, support vector machines and instance-based learning, with the intention of obtaining global conclusions from different classification paradigms. The extracted findings will be supported by a statistical comparative analysis using more than 20 data-sets from the KEEL repository. © 2013 Elsevier B.V. All rights reserved.","Cost-sensitive learning; Imbalanced data-sets; Multi-classification; Pairwise learning; Preprocessing","Cost-sensitive learning; Imbalanced Data-sets; Multi-classification; Pairwise learning; Preprocessing; Artificial intelligence; Software engineering; Decision trees",Article,Scopus,2-s2.0-84874667219
"Vikhorev K., Greenough R., Brown N.","An advanced energy management framework to promote energy awareness",2013,"Journal of Cleaner Production",70,10.1016/j.jclepro.2012.12.012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873394857&doi=10.1016%2fj.jclepro.2012.12.012&partnerID=40&md5=e13ad4b9e206c8340c2a7ff829b3dc44","Increasing energy costs, new environmental legislation, and concerns over energy security are driving efforts to increase industrial energy efficiency across the European Union and the world. Manufacturers are keen to identify the most cost-effective techniques to increase energy efficiency in their factories. To achieve the desired efficiency improvements, energy use should be measured in more detail and in real-time, to derive an awareness of the energy use patterns of every part of the manufacturing system. In this paper, we propose a framework for energy monitoring and management in the factory. This will allow decision support systems and enterprise services to take into consideration the energy used by each individual productive asset and related energy using processes, to facilitate both global and local energy optimization. The proposed framework incorporates standards for energy data exchange, on-line energy data analysis, performance measurement and display of energy usage. © 2012 Elsevier Ltd. All rights reserved.","Complex event processing; Data stream analysis; Energy management; Sustainable manufacturing","Complex event processing; Data stream; Efficiency improvement; Energy awareness; Energy cost; Energy monitoring; Energy security; Energy usage; Energy use; Enterprise services; Environmental legislations; European union; Industrial energy efficiency; Local energy; Management frameworks; Performance measurements; Sustainable manufacturing; Artificial intelligence; Decision support systems; Electronic data interchange; Energy efficiency; Manufacture; Energy management",Article,Scopus,2-s2.0-84873394857
"Mei J.-P., Kwoh C.-K., Yang P., Li X.-L., Zheng J.","Drug-target interaction prediction by learning from local information and neighbors",2013,"Bioinformatics",70,10.1093/bioinformatics/bts670,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872509876&doi=10.1093%2fbioinformatics%2fbts670&partnerID=40&md5=be9f012e8d1ebd7e992699cf422a2577","Motivation: In silico methods provide efficient ways to predict possible interactions between drugs and targets. Supervised learning approach, bipartite local model (BLM), has recently been shown to be effective in prediction of drug-target interactions. However, for drug-candidate compounds or target-candidate proteins that currently have no known interactions available, its pure 'local' model is not able to be learned and hence BLM may fail to make correct prediction when involving such kind of new candidates.Results: We present a simple procedure called neighbor-based interaction-profile inferring (NII) and integrate it into the existing BLM method to handle the new candidate problem. Specifically, the inferred interaction profile is treated as label information and is used for model learning of new candidates. This functionality is particularly important in practice to find targets for new drug-candidate compounds and identify targeting drugs for new target-candidate proteins. Consistent good performance of the new BLM-NII approach has been observed in the experiment for the prediction of interactions between drugs and four categories of target proteins. Especially for nuclear receptors, BLM-NII achieves the most significant improvement as this dataset contains many drugs/targets with no interactions in the cross-validation. This demonstrates the effectiveness of the NII strategy and also shows the great potential of BLM-NII for prediction of compound-protein interactions. © 2012 The Author. Published by Oxford University Press. All rights reserved.",,"cell receptor; drug; protein; algorithm; article; artificial intelligence; chemistry; drug development; drug effect; theoretical model; Algorithms; Artificial Intelligence; Drug Discovery; Models, Theoretical; Pharmaceutical Preparations; Proteins; Receptors, Cytoplasmic and Nuclear",Article,Scopus,2-s2.0-84872509876
"Kulkarni G., Premraj V., Ordonez V., Dhar S., Li S., Choi Y., Berg A.C., Berg T.L.","Baby talk: Understanding and generating simple image descriptions",2013,"IEEE Transactions on Pattern Analysis and Machine Intelligence",69,10.1109/TPAMI.2012.162,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887601544&doi=10.1109%2fTPAMI.2012.162&partnerID=40&md5=562129ef41f008c22b15a5ea7646214c","We present a system to automatically generate natural language descriptions from images. This system consists of two parts. The first part, content planning, smooths the output of computer vision-based detection and recognition algorithms with statistics mined from large pools of visually descriptive text to determine the best content words to use to describe an image. The second step, surface realization, chooses words to construct natural language sentences based on the predicted content and general statistics from natural language. We present multiple approaches for the surface realization step and evaluate each using automatic measures of similarity to human generated reference descriptions. We also collect forced choice human evaluations between descriptions from the proposed generation system and descriptions from competing approaches. The proposed system is very effective at producing relevant sentences for images. It also generates descriptions that are notably more true to the specific image content than previous work. © 2013 IEEE.","Computer vision; image description generation","General statistics; Generation systems; Human evaluation; Image descriptions; Natural languages; Recognition algorithm; Reference descriptions; Vision-based detection; Artificial intelligence; Computer vision; Character recognition; algorithm; human; Algorithms; Humans",Article,Scopus,2-s2.0-84887601544
"Leitão P., Mařík V., Vrba P.","Past, present, and future of industrial agent applications",2013,"IEEE Transactions on Industrial Informatics",69,10.1109/TII.2012.2222034,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886643332&doi=10.1109%2fTII.2012.2222034&partnerID=40&md5=72c3d3fbe99b403847b97be3126b834f","Industrial agents technology leverages the benefits of multiagent systems, distributed computing, artificial intelligence techniques and semantics in the field of production, services and infrastructure sectors, providing a new way to design and engineer control solutions based on the decentralization of control over distributed structures. The key drivers for this application are the benefits of agent-based industrial systems, namely in terms of robustness, scalability, reconfigurability and productivity, all of which translate to a greater competitive advantage. This manuscript monitors the chronology of research and development of the industrial applications of multiagent and holonic systems. It provides the comprehensive overview of methodologies, architectures and applications of agents in industrial domain from early nineties up to present. It also gives an outlook of the current trends as well as challenges and possible future application domains of industrial agents. © 2005-2012 IEEE.","Holonic systems; industrial agents; multiagent systems (MAS); production planning; real-time control; semantic technologies manufacturing","Artificial intelligence techniques; Competitive advantage; Distributed structures; Holonic system; Infrastructure sector; Production Planning; Research and development; Semantic technologies; Competition; Industrial applications; Multi agent systems; Production control; Real time control; Semantics; Industry",Article,Scopus,2-s2.0-84886643332
"Lyubashevsky V., Peikert C., Regev O.","A toolkit for ring-LWE cryptography",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",69,10.1007/978-3-642-38348-9_3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883318384&doi=10.1007%2f978-3-642-38348-9_3&partnerID=40&md5=3bba931d429ea9a43d821cf0598b6baa","Recent advances in lattice cryptography, mainly stemming from the development of ring-based primitives such as ring-LWE, have made it possible to design cryptographic schemes whose efficiency is competitive with that of more traditional number-theoretic ones, along with entirely new applications like fully homomorphic encryption. Unfortunately, realizing the full potential of ring-based cryptography has so far been hindered by a lack of practical algorithms and analytical tools for working in this context. As a result, most previous works have focused on very special classes of rings such as power-of-two cyclotomics, which significantly restricts the possible applications. We bridge this gap by introducing a toolkit of fast, modular algorithms and analytical techniques that can be used in a wide variety of ring-based cryptographic applications, particularly those built around ring-LWE. Our techniques yield applications that work in arbitrary cyclotomic rings, with no loss in their underlying worst-case hardness guarantees, and very little loss in computational efficiency, relative to power-of-two cyclotomics. To demonstrate the toolkit's applicability, we develop two illustrative applications: a public-key cryptosystem and a ""somewhat homomorphic"" symmetric encryption scheme. Both apply to arbitrary cyclotomics, have tight parameters, and very efficient implementations. © 2013 International Association for Cryptologic Research.",,"Cryptographic applications; Cryptographic schemes; Efficient implementation; Fully homomorphic encryption; Modular algorithms; New applications; Public key cryptosystems; Symmetric encryption schemes; Artificial intelligence; Computer science; Public key cryptography",Conference Paper,Scopus,2-s2.0-84883318384
"Zeng J., Qiao W.","Short-term solar power prediction using a support vector machine",2013,"Renewable Energy",69,10.1016/j.renene.2012.10.009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869888400&doi=10.1016%2fj.renene.2012.10.009&partnerID=40&md5=eb19e0a3ebad748689bddd3a9d75355d","This paper proposes a least-square (LS) support vector machine (SVM)-based model for short-term solar power prediction (SPP). The input of the model includes historical data of atmospheric transmissivity in a novel two-dimensional (2D) form and other meteorological variables, including sky cover, relative humidity, and wind speed. The output of the model is the predicted atmospheric transmissivity, which then is converted to solar power according to the latitude of the site and the time of the day. Computer simulations are carried out to validate the proposed model by using the data obtained from the National Solar Radiation Database (NSRDB). Results show that the proposed model not only significantly outperforms a reference autoregressive (AR) model but also achieves better results than a radial basis function neural network (RBFNN)-based model in terms of prediction accuracy. The superiority of using transmissivity over sigmoid functions for data normalization is testified. Simulation studies also show that the use of additional meteorological variables, especially sky cover, improves the accuracy of SPP. © 2012 Elsevier Ltd.","Autoregressive (AR) model; Radial basis function neural network (RBFNN); Short term; Solar power prediction (SPP); Support vector machine (SVM)","Atmospheric transmissivity; Auto regressive models; Data normalization; Historical data; Least squares; Meteorological variables; Power predictions; Prediction accuracy; Radial basis function neural networks; Short term; Sigmoid function; Simulation studies; Transmissivity; Wind speed; Solar energy; Sun; Support vector machines; Computer simulation; accuracy assessment; alternative energy; artificial intelligence; artificial neural network; atmospheric transport; computer simulation; database; least squares method; model validation; prediction; regression analysis; relative humidity; renewable resource; solar power; solar radiation; two-dimensional modeling; wind velocity",Article,Scopus,2-s2.0-84869888400
"Widrow B., Greenblatt A., Kim Y., Park D.","The No-Prop algorithm: A new learning algorithm for multilayer neural networks",2013,"Neural Networks",69,10.1016/j.neunet.2012.09.020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870473129&doi=10.1016%2fj.neunet.2012.09.020&partnerID=40&md5=cd3140f0517b5aa705c5a687f0d930ff","A new learning algorithm for multilayer neural networks that we have named No-Propagation (No-Prop) is hereby introduced. With this algorithm, the weights of the hidden-layer neurons are set and fixed with random values. Only the weights of the output-layer neurons are trained, using steepest descent to minimize mean square error, with the LMS algorithm of Widrow and Hoff. The purpose of introducing nonlinearity with the hidden layers is examined from the point of view of Least Mean Square Error Capacity (LMS Capacity), which is defined as the maximum number of distinct patterns that can be trained into the network with zero error. This is shown to be equal to the number of weights of each of the output-layer neurons. The No-Prop algorithm and the Back-Prop algorithm are compared. Our experience with No-Prop is limited, but from the several examples presented here, it seems that the performance regarding training and generalization of both algorithms is essentially the same when the number of training patterns is less than or equal to LMS Capacity. When the number of training patterns exceeds Capacity, Back-Prop is generally the better performer. But equivalent performance can be obtained with No-Prop by increasing the network Capacity by increasing the number of neurons in the hidden layer that drives the output layer. The No-Prop algorithm is much simpler and easier to implement than Back-Prop. Also, it converges much faster. It is too early to definitively say where to use one or the other of these algorithms. This is still a work in progress. © 2012 Elsevier Ltd.","Backpropagation; Neural networks; Training algorithm","Hidden layers; Least mean square error; LMS algorithms; Network Capacity; Output layer; Random values; Steepest descent; Training algorithms; Training patterns; Work in progress; Backpropagation; Multilayer neural networks; Neural networks; Neurons; Learning algorithms; analytical error; article; back propagation; cell count; cell size; cell structure; classifier; learning algorithm; Least Mean Square Error Capacity; linear system; nerve cell network; No Propagation algorithm; nonlinear system; priority journal; statistical analysis; weight; algorithm; artificial neural network; back propagation algorithm; classification algorithm; intermethod comparison; no propagation algorithm; algorithm; artificial intelligence; artificial neural network; computer; computer program; computer simulation; human; Algorithms; Artificial Intelligence; Computer Simulation; Computers; Humans; Neural Networks (Computer); Software",Article,Scopus,2-s2.0-84870473129
"Fister Jr. I., Fister D., Yang X.-S.","A hybrid bat algorithm",2013,"Elektrotehniski Vestnik/Electrotechnical Review",68,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881121704&partnerID=40&md5=541b186c55f07575aed4988d57335985","Swarm intelligence is a very powerful technique appropriate to optimization. In this paper, we presenta new swarm intelligence algorithm, which is based on the bat algorithm. Bat algorithm has been hybridized with differential evolution strategies. This hybridization showed very promising results on standard benchmark functions and also significantly improved the original bat algorithm.","Bat algorithm; Differential evolution; Optimization; Swarm intelligence","Bat algorithms; Benchmark functions; Differential Evolution; Differential evolution strategy; Swarm Intelligence; Swarm intelligence algorithms; Evolutionary algorithms; Optimization; Artificial intelligence",Article,Scopus,2-s2.0-84881121704
"Choi K., Suh Y.","A new similarity function for selecting neighbors for each target item in collaborative filtering",2013,"Knowledge-Based Systems",68,10.1016/j.knosys.2012.07.019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870054259&doi=10.1016%2fj.knosys.2012.07.019&partnerID=40&md5=a427d30e21d839f24d193b7585f3cb6c","As one of the collaborative filtering (CF) techniques, memory-based CF technique which recommends items to users based on rating information of like-minded users (called neighbors) has been widely used and has also proven to be useful in many practices in the age of information overload. However, there is still considerable room for improving the quality of recommendation. Shortly, similarity functions in traditional CF compute a similarity between a target user and the other user without considering a target item. More specifically, they give an equal weight to each of the co-rated items rated by both users. Neighbors of a target user, therefore, are identical for all target items. However, a reasonable assumption is that the similarity between a target item and each of the co-rated items should be considered when finding neighbors of a target user. Additionally, a different set of neighbors should be selected for each different target item. Thus, the objective of this paper is to propose a new similarity function in order to select different neighbors for each different target item. In the new similarity function, the rating of a user on an item is weighted by the item similarity between the item and the target item. Experimental results from MovieLens dataset and Netflix dataset provide evidence that our recommender model considerably outperforms the traditional CF-based recommender model. © 2012 Elsevier B.V. All rights reserved.","Collaborative filtering; Information overload; Item similarity; Recommendation system","Collaborative filtering; Data sets; Information overloads; Item similarity; Rating information; Similarity functions; Artificial intelligence; Recommender systems; Software engineering; Rating",Article,Scopus,2-s2.0-84870054259
"Liu B., Huang J., Kulikowski C., Yang L.","Robust visual tracking using local sparse appearance model and k-selection",2013,"IEEE Transactions on Pattern Analysis and Machine Intelligence",67,10.1109/TPAMI.2012.215,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887572897&doi=10.1109%2fTPAMI.2012.215&partnerID=40&md5=7d4bfc1a53bc18904fa5301ecab76b75","Online learned tracking is widely used for its adaptive ability to handle appearance changes. However, it introduces potential drifting problems due to the accumulation of errors during the self-updating, especially for occluded scenarios. The recent literature demonstrates that appropriate combinations of trackers can help balance the stability and flexibility requirements. We have developed a robust tracking algorithm using a local sparse appearance model (SPT) and K-Selection. A static sparse dictionary and a dynamically updated online dictionary basis distribution are used to model the target appearance. A novel sparse representation-based voting map and a sparse constraint regularized mean shift are proposed to track the object robustly. Besides these contributions, we also introduce a new selection-based dictionary learning algoritH.W.th a locally constrained sparse representation, called K-Selection. Based on a set of comprehensive experiments, our algorithm has demonstrated better performance than alternatives reported in the recent literature. © 2013 IEEE.","appearance model; dictionary learning; K-selection; Sparse representation; tracking","Adaptive ability; Appearance modeling; Better performance; Dictionary learning; K-selection; Online dictionaries; Sparse dictionaries; Sparse representation; Artificial intelligence; Computer vision; Surface discharges; Algorithms",Article,Scopus,2-s2.0-84887572897
"Chen J., Wee H.","Fully, (almost) tightly secure IBE and dual system groups",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",67,10.1007/978-3-642-40084-1_25,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884487333&doi=10.1007%2f978-3-642-40084-1_25&partnerID=40&md5=9f470504019b8cc8743bb5013f9bfc1f","We present the first fully secure Identity-Based Encryption scheme (IBE) from the standard assumptions where the security loss depends only on the security parameter and is independent of the number of secret key queries. This partially answers an open problem posed by Waters (Eurocrypt 2005). Our construction combines the Waters' dual system encryption methodology (Crypto 2009) with the Naor-Reingold pseudo-random function (J. ACM, 2004) in a novel way. The security of our scheme relies on the DLIN assumption in prime-order groups. Along the way, we introduce a novel notion of dual system groups and a new randomization and parameter-hiding technique for prime-order bilinear groups. © 2013 International Association for Cryptologic Research.",,"Bilinear groups; Dual system; Dual system encryptions; Fully secure; Identity Based Encryption; Pseudo-random functions; Security parameters; Standard assumptions; Artificial intelligence; Computer science; Cryptography",Conference Paper,Scopus,2-s2.0-84884487333
"Pluhacek M., Senkerik R., Davendra D., Kominkova Oplatkova Z., Zelinka I.","On the behavior and performance of chaos driven PSO algorithm with inertia weight",2013,"Computers and Mathematics with Applications",67,10.1016/j.camwa.2013.01.016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880206476&doi=10.1016%2fj.camwa.2013.01.016&partnerID=40&md5=a10b9f645a6373536a86a107b15c3717","In this paper, the utilization of chaos pseudorandom number generators based on three different chaotic maps to alter the behavior and overall performance of PSO algorithm is proposed. This paper presents results of testing the performance and behavior of the proposed algorithm on typical benchmark functions that represent unimodal and multimodal problems. The promising results are analyzed and discussed. © 2013 Elsevier Ltd. All rights reserved.","Chaos; Evolutionary algorithms; Optimization; Particle swarm; Swarm intelligence","Benchmark functions; Chaotic map; Inertia weight; Multimodal problems; Particle swarm; Pseudo random number generators; PSO algorithms; Swarm Intelligence; Algorithms; Artificial intelligence; Chaos theory; Chaotic systems; Evolutionary algorithms; Optimization; Random number generation; Benchmarking",Article,Scopus,2-s2.0-84880206476
"Nahar J., Imam T., Tickle K.S., Chen Y.-P.P.","Association rule mining to detect factors which contribute to heart disease in males and females",2013,"Expert Systems with Applications",67,10.1016/j.eswa.2012.08.028,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870239197&doi=10.1016%2fj.eswa.2012.08.028&partnerID=40&md5=b07f574d13b2f5ece8eed28cfb5e6c22","This paper investigates the sick and healthy factors which contribute to heart disease for males and females. Association rule mining, a computational intelligence approach, is used to identify these factors and the UCI Cleveland dataset, a biological database, is considered along with the three rule generation algorithms - Apriori, Predictive Apriori and Tertius. Analyzing the information available on sick and healthy individuals and taking confidence as an indicator, females are seen to have less chance of coronary heart disease then males. Also, the attributes indicating healthy and sick conditions were identified. It is seen that factors such as chest pain being asymptomatic and the presence of exercise-induced angina indicate the likely existence of heart disease for both men and women. However, resting ECG being either normal or hyper and slope being flat are potential high risk factors for women only. For men, on the other hand, only a single rule expressing resting ECG being hyper was shown to be a significant factor. This means, for women, resting ECG status is a key distinct factor for heart disease prediction. Comparing the healthy status of men and women, slope being up, number of coloured vessels being zero, and oldpeak being less than or equal to 0.56 indicate a healthy status for both genders. © 2012 Elsevier Ltd. All rights reserved.","Association rule mining; Cleveland data; Computational intelligence; Female; Healthy; Heart disease; Male; Sick","Cleveland; Female; Healthy; Heart disease; Male; Sick; Artificial intelligence; Diseases; Electrocardiography; Cardiology",Article,Scopus,2-s2.0-84870239197
"Gascon H., Yamaguchi F., Arp D., Rieck K.","Structural detection of Android malware using embedded call graphs",2013,"Proceedings of the ACM Conference on Computer and Communications Security",66,10.1145/2517312.2517315,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889046959&doi=10.1145%2f2517312.2517315&partnerID=40&md5=3aa068a35b123a9ebd5d1f34936feb74","The number of malicious applications targeting the Android system has literally exploded in recent years. While the security community, well aware of this fact, has proposed several methods for detection of Android malware, most of these are based on permission and API usage or the identification of expert features. Unfortunately, many of these approaches are susceptible to instruction level obfuscation techniques. Previous research on classic desktop malware has shown that some high level characteristics of the code, such as function call graphs, can be used to find similarities between samples while being more robust against certain obfuscation strategies. However, the identification of similarities in graphs is a non-trivial problem whose complexity hinders the use of these features for malware detection. In this paper, we explore how recent developments in machine learning classification of graphs can be efficiently applied to this problem. We propose a method for malware detection based on efficient embeddings of function call graphs with an explicit feature map inspired by a linear-time graph kernel. In an evaluation with 12,158 malware samples our method, purely based on structural features, outperforms several related approaches and detects 89% of the malware with few false alarms, while also allowing to pin-point malicious code structures within Android applications. © 2013 ACM.","graph kernels; machine learning; malware detection","Android applications; Function-call graphs; Graph kernels; Level characteristic; Machine learning classification; Malware detection; Structural detections; Structural feature; Application programming interfaces (API); Artificial intelligence; Learning systems; Robots; Computer crime",Conference Paper,Scopus,2-s2.0-84889046959
"Grosenick L., Klingenberg B., Katovich K., Knutson B., Taylor J.E.","Interpretable whole-brain prediction analysis with GraphNet",2013,"NeuroImage",66,10.1016/j.neuroimage.2012.12.062,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874528278&doi=10.1016%2fj.neuroimage.2012.12.062&partnerID=40&md5=3647356d7ec07c859317389827c01ceb","Multivariate machine learning methods are increasingly used to analyze neuroimaging data, often replacing more traditional ""mass univariate"" techniques that fit data one voxel at a time. In the functional magnetic resonance imaging (fMRI) literature, this has led to broad application of ""off-the-shelf"" classification and regression methods. These generic approaches allow investigators to use ready-made algorithms to accurately decode perceptual, cognitive, or behavioral states from distributed patterns of neural activity. However, when applied to correlated whole-brain fMRI data these methods suffer from coefficient instability, are sensitive to outliers, and yield dense solutions that are hard to interpret without arbitrary thresholding. Here, we develop variants of the Graph-constrained Elastic-Net (GraphNet), a fast, whole-brain regression and classification method developed for spatially and temporally correlated data that automatically yields interpretable coefficient maps (Grosenick et al., 2009b). GraphNet methods yield sparse but structured solutions by combining structured graph constraints (based on knowledge about coefficient smoothness or connectivity) with a global sparsity-inducing prior that automatically selects important variables. Because GraphNet methods can efficiently fit regression or classification models to whole-brain, multiple time-point data sets and enhance classification accuracy relative to volume-of-interest (VOI) approaches, they eliminate the need for inherently biased VOI analyses and allow whole-brain fitting without the multiple comparison problems that plague mass univariate and roaming VOI (""searchlight"") methods. As fMRI data are unlikely to be normally distributed, we (1) extend GraphNet to include robust loss functions that confer insensitivity to outliers, (2) equip them with ""adaptive"" penalties that asymptotically guarantee correct variable selection, and (3) develop a novel sparse structured Support Vector GraphNet classifier (SVGN). When applied to previously published data (Knutson et al., 2007), these efficient whole-brain methods significantly improved classification accuracy over previously reported VOI-based analyses on the same data (Grosenick et al., 2008; Knutson et al., 2007) while discovering task-related regions not documented in the original VOI approach. Critically, GraphNet estimates fit to the Knutson et al. (2007) data generalize well to out-of-sample data collected more than three years later on the same task but with different subjects and stimuli (Karmarkar et al., submitted for publication). By enabling robust and efficient selection of important voxels from whole-brain data taken over multiple time points (> 100,000 ""features""), these methods enable data-driven selection of brain areas that accurately predict single-trial behavior within and across individuals. © 2013 Elsevier Inc.",,"accuracy; article; automation; brain region; classification algorithm; classifier; correlation coefficient; functional magnetic resonance imaging; GraphNet; knowledge; neuroimaging; normal distribution; prediction; priority journal; regression analysis; support vector machine; univariate analysis; Algorithms; Artificial Intelligence; Brain; Brain Mapping; Humans; Image Interpretation, Computer-Assisted; Magnetic Resonance Imaging",Article,Scopus,2-s2.0-84874528278
"Díaz-Gimeno P., Ruiz-Alonso M., Blesa D., Bosch N., Martínez-Conejero J.A., Alamá P., Garrido N., Pellicer A., Simón C.","The accuracy and reproducibility of the endometrial receptivity array is superior to histology as a diagnostic method for endometrial receptivity",2013,"Fertility and Sterility",66,10.1016/j.fertnstert.2012.09.046,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873295219&doi=10.1016%2fj.fertnstert.2012.09.046&partnerID=40&md5=10f5a31f9a049f2e62e1066ed1b834c7","Objective: To compare the accuracy and reproducibility of the endometrial receptivity array (ERA) versus standard histologic methods. Design: A comparative prospective study (May 2008-May 2012). Setting: University- Affiliated infertility clinic. Patient(s): Eighty-six healthy oocyte donors, regularly cycling, aged 20-34 years with a body mass index (BMI) of 19-25 kg/m2. Intervention(s): Endometrial biopsies were collected throughout the menstrual cycle. For the accuracy study, 79 samples were grouped into two cohorts: the training set (n = 79) for ERA machine-learning training and dating, and a dating subset (n = 49) for comparison between histologic and ERA dating. For the reproducibility study, seven women underwent ERA testing and it was repeated in the same patients on the same day of their cycle 29-40 months later. Main Outcome Measure(s): Concordance of histologic and ERA dating related to LH as a reference, and interobserver variability between pathologists were statistically analyzed by the quadratic weighted Kappa index. The ERA reproducibility was tested and its gene expression visualized by principal component analysis. Result(s): For each pathologist, concordance against LH peak yielded values of 0.618 (0.446-0.791) and 0.685 (0.545-0.824). Interobserver variability between pathologists yielded a Kappa index of 0.622 (0.435-0.839). Concordance for ERA dating against LH peak showed a value of 0.922 (0.815-1.000). Reproducibility of the ERA test was 100% consistent. Conclusion(s): The ERA is more accurate than histologic dating and is a completely reproducible method for the diagnosis of endometrial dating and receptivity status.","consistency; diagnostic accuracy; Endometrial receptivity; histologic dating; machine-learning prediction","luteinizing hormone; adult; article; body mass; cohort analysis; comparative study; decidualization; diagnostic accuracy; diagnostic test; diagnostic test accuracy study; donor; endometrial receptivity array; endometrium biopsy; female; gene expression; histology; human; machine learning; major clinical study; menstrual cycle; oocyte; principal component analysis; priority journal; prospective study; reproducibility; Adult; Artificial Intelligence; Biological Markers; Biopsy; Diagnosis, Computer-Assisted; Endometrium; Female; Humans; Ovulation Detection; Reproducibility of Results; Sensitivity and Specificity; Young Adult",Article,Scopus,2-s2.0-84873295219
